STATE,Year,mx.standard.b,mx.standard.f,mx.standard.m
01,2019,0.0112158891252674,0.00938163553827585,0.0134946082765957
04,1990,0.0108239177605535,0.00860080949569383,0.0137786311588853
04,2000,0.0103959316162604,0.00866661504979258,0.0125887723169777
04,2010,0.00895282716747106,0.00753299030505461,0.010666380911298
04,2019,0.0086203250457161,0.00724134822990558,0.0101630924248331
05,1990,0.0123156657917152,0.00969808555073757,0.0160273463765033
05,2000,0.0122611658622166,0.0101180482374806,0.0152325927565361
05,2010,0.0111278667003372,0.00930412167774014,0.0134877417854171
05,2019,0.0110973478697598,0.00932600451603571,0.0132214245428302
06,1990,0.0112787080655144,0.0092146894191305,0.014096750557373
06,2000,0.0100913500632035,0.00859639403875852,0.0121028131858452
06,2010,0.00834953214702834,0.00716666187058472,0.00985441464923297
06,2019,0.00781805422358527,0.00655545769813586,0.00932763831925297
08,1990,0.0103859451600812,0.00848843081509835,0.0131239383137869
08,2000,0.0098118236259172,0.00841368762929699,0.011813280384854
08,2010,0.0085318886242583,0.00738713588326709,0.00997993996551729
08,2019,0.00831005079839317,0.00714344947377463,0.00967337905737208
09,1990,0.0105132242241147,0.00860318754069117,0.0134002038681389
09,2000,0.00990284741959034,0.0083365180623159,0.0121602013521366
09,2010,0.00820707832335586,0.00700911438423102,0.00981685526582734
09,2019,0.0081186915028093,0.00680792810904673,0.00976771113379636
10,1990,0.0120553894865061,0.00989553506725425,0.0150842632935659
10,2000,0.0110449981045573,0.00935572990291192,0.0134465104914897
10,2010,0.00957874368168038,0.00810902198179287,0.0115085879986761
10,2019,0.00907888276387513,0.00755200695978171,0.0110427970162077
12,1990,0.0109820864358823,0.00866085194943158,0.0140735463157268
12,2000,0.0104873831271253,0.00866530116139178,0.0128289839944179
12,2010,0.00905018805925008,0.00755074677713449,0.010895341804621
12,2019,0.00841737911803688,0.00703235871108579,0.0100153284550277
13,1990,0.0126183027657569,0.00995510711792599,0.0167398264904458
13,2000,0.0121634749652135,0.0101753693372647,0.0151305679579256
13,2010,0.0104977598109737,0.0089335638977642,0.012643078788847
13,2019,0.00989595013326731,0.00846645851839206,0.0116737560107599
16,1990,0.0103560003178254,0.00827993137967235,0.0132352364206077
16,2000,0.0100622896690104,0.00865748858925636,0.0118549819692355
16,2010,0.00898950330397033,0.00772300388117909,0.0105016398916106
16,2019,0.00896968784544985,0.00786531363593296,0.0101810640183476
