FIPS.grp,Year,mx.standard.b,mx.standard.f,mx.standard.m
50007,2000,0.00969972858389352,0.00832922915944415,0.0116288377899116
50007,2010,0.00773545705300305,0.00653959755414466,0.00935440857509748
50007,2019,0.00742971070597781,0.00639712859157287,0.00876571958420665
50015,1990,0.0111256645161242,0.00889527810013244,0.0141010645472239
50015,2000,0.0101357955751841,0.00867378934793842,0.0119499014989598
50015,2010,0.0086107726018239,0.00735342537214522,0.0100439990574559
50015,2019,0.00805701258542936,0.00674012609502093,0.0094995996586277
50017,1990,0.0111083181021744,0.00878912589113347,0.0140816114464116
50017,2000,0.00976945625504058,0.00833417174146554,0.011632266037234
50017,2010,0.00854438900279261,0.00706008335780458,0.0102664058766004
50017,2019,0.00862308813057534,0.00720331194326425,0.0102232251169142
50019,1990,0.0118879934058917,0.00946910911912853,0.0152369821242118
50019,2000,0.0101195825930453,0.00856497498645057,0.0122314264129617
50019,2010,0.0088979461296611,0.00752930032489517,0.0104759003314028
50019,2019,0.00911103638529614,0.00758310343193321,0.0108458133775421
50021,1990,0.0114289388315894,0.0092662403667036,0.0145333143340606
50021,2000,0.010127659697032,0.00865897860285899,0.0121085494544998
50021,2010,0.0091056364786255,0.00777722247172389,0.0107769402244962
50021,2019,0.00955250454400863,0.00805098587509092,0.0112042477776814
50023,1990,0.0109652209321805,0.00872902192274584,0.0143479939132094
50023,2000,0.00978671843378787,0.00820194496776564,0.012027471926334
50023,2010,0.0084072695589356,0.00726203464124865,0.00987644551028041
50023,2019,0.00806668774014454,0.00696348430490651,0.00937302853346908
50025,1990,0.0110582654105566,0.00870653506231397,0.014398786228825
50025,2000,0.0101428114497846,0.00853754646442724,0.0122442190540083
50025,2010,0.00905936553740462,0.00777959255823155,0.010563227964172
50025,2019,0.00853069982544437,0.00710933001103722,0.0101476949445466
50027,1990,0.0110276208613888,0.00878831069667438,0.0140381057626647
50027,2000,0.00952887922526362,0.00799984840385626,0.0114743697783828
50027,2010,0.00831702369603405,0.00715465734225216,0.0096995792620541
50027,2019,0.00824817994684493,0.00695339430868027,0.00968831355541586
50g01,1990,0.0108895515036088,0.00863382701597519,0.013974819042873
50g01,2000,0.0102535077664175,0.00876539958131457,0.0122215859830481
50g01,2010,0.00872333863321257,0.00733542947063505,0.010373611873671
50g01,2019,0.00884084419131435,0.0073109817119083,0.0104822695210781
50g02,1990,0.0117260949026633,0.00937856547903265,0.0149507035879049
50g02,2000,0.0104925181108506,0.00903796671017473,0.0123476327122142
50g02,2010,0.00883764843584854,0.00779306572926851,0.0100776392613218
50g02,2019,0.00878568794276236,0.00736320827319178,0.0103812093552481
51001,1990,0.0127265564095569,0.0101637211654983,0.0165009178290342
51001,2000,0.011746420796503,0.0097462668065339,0.0143705835639355
51001,2010,0.0117901255825633,0.00981951426817314,0.0141774608166531
51001,2019,0.0106086271747,0.00897160561316543,0.0124984346908423
51009,1990,0.0120897676789541,0.00955491921940376,0.0155293457401344
51009,2000,0.0112365841959513,0.00923743100944475,0.0139259115361738
51009,2010,0.0105373448507755,0.00881543817819829,0.0127488276885794
51009,2019,0.00974066951364491,0.00819753704234225,0.0116263890523359
51011,1990,0.0120979074723728,0.00943673475062838,0.0155376892464005
51011,2000,0.010980776515617,0.0091854038189782,0.0132167708452566
51011,2010,0.01054396835945,0.00886327606279222,0.0125821058520097
51011,2019,0.0103543980728685,0.00873140643879446,0.0122720324832268
51013,1990,0.00987907692355172,0.007995265225913,0.0127421365780019
51013,2000,0.00855081285993062,0.00740256241836076,0.0101493164854358
51013,2010,0.00698865343578909,0.00601044065106637,0.00825924306894121
51013,2019,0.00542559832207441,0.00469319025333203,0.00629875833457805
51023,1990,0.0117639929405133,0.0093560756249085,0.0147855903149747
51023,2000,0.00995015181074775,0.00828161160022264,0.0120820078589675
51023,2010,0.00889065171056363,0.00757443110075959,0.0105045669392883
51023,2019,0.00871033378591885,0.00733122909450616,0.0102859416174353
51025,1990,0.0145479507785224,0.0112978802820364,0.0189470385172955
51025,2000,0.0122721970408845,0.0101181691855243,0.0150801175513022
51025,2010,0.0108036581122911,0.00902132149790355,0.0129955645965624
51025,2019,0.0105016382107654,0.00874539346530782,0.0125028316112584
51027,1990,0.0146025338511795,0.0115158156087237,0.0187984297017249
51027,2000,0.0135003876735741,0.0111636547412067,0.0165849336188024
51027,2010,0.0123121013820657,0.0101919456300516,0.0147820283983117
51027,2019,0.0120306069054613,0.010096245939954,0.0141927675535779
51029,1990,0.0127803587152577,0.00991808428068937,0.0162459973424695
51029,2000,0.0114706968207972,0.0094441730779341,0.0137774246788535
51029,2010,0.00979692335213601,0.00819557584011989,0.0115238675095821
51029,2019,0.00889700711444999,0.00736973066099263,0.0105577515851951
51031,1990,0.0115661078723078,0.00907405487079556,0.0147927753499631
51031,2000,0.0107897867865595,0.00903519522169293,0.0131861485120526
51031,2010,0.00900359144965141,0.00757285333938721,0.0108264529074121
51031,2019,0.00909826001017379,0.00765218949750295,0.0108342644874054
51033,1990,0.013048838525866,0.00998410081275256,0.0170236260633648
51033,2000,0.0117239686652951,0.00969881039804254,0.0142754301842964
51033,2010,0.00960178906945196,0.00812348666717203,0.0114048957764044
51033,2019,0.00996048801624207,0.00837590099312163,0.0118693416474604
51035,1990,0.0110052730889107,0.00856979409417427,0.0142813686093757
51035,2000,0.0103949475467123,0.00872553351121788,0.0126367103016642
51035,2010,0.010067336111131,0.00855094966403148,0.0119011982255031
51035,2019,0.00895534830422401,0.00760872177388291,0.0104973883296425
51037,1990,0.0131455803213143,0.0102366496693532,0.0167474532754473
51037,2000,0.01274610924973,0.0104699694565033,0.0158197737208422
51037,2010,0.0105249495405015,0.00884404874187257,0.0126222736508693
51037,2019,0.0106625036786819,0.00889097566446711,0.0127258484220361
51041,1990,0.0111286294169008,0.00904481716832943,0.0141846592391331
51041,2000,0.0103630355773633,0.00897337477574194,0.0122639682023198
51041,2010,0.00857622822661373,0.00735854588864038,0.010187516942241
51041,2019,0.00894115331374111,0.00761354094114348,0.0106275442166821
51043,1990,0.0115116088386062,0.00907914745822289,0.0148998955904313
51043,2000,0.0107288041582819,0.00907484183057749,0.0129180546711557
51043,2010,0.00979335797796305,0.00830769968956123,0.011547258107531
51043,2019,0.00869584825446615,0.00734993462220957,0.0102222653705706
51047,1990,0.0122253140515993,0.00968636303254884,0.0157204282695083
51047,2000,0.0118912592878438,0.0101432212333835,0.0140146252462575
51047,2010,0.0093464314277347,0.00789942840882807,0.0110132470912601
51047,2019,0.00971865812121712,0.00813388816926121,0.0115530171099906
51051,1990,0.013218515915935,0.0101394857359115,0.0175178985421719
51051,2000,0.0120749855145293,0.00999530842314408,0.014797807083635
51051,2010,0.0124939547925428,0.010560272015023,0.0147690774597622
51051,2019,0.0123512935848137,0.0102913637714184,0.0146033715413573
51053,1990,0.0122713244092159,0.00938256236732551,0.0160374495214537
51053,2000,0.010780047860857,0.00889118693091897,0.0131485497175998
51053,2010,0.00999450946537464,0.00845624874599184,0.011916734901593
51053,2019,0.0097077577494085,0.00822946743328462,0.0114695694633348
51061,1990,0.0120260004651108,0.00954568293533734,0.015319360917702
51061,2000,0.0103947956407896,0.00877633763693926,0.0124738534427559
51061,2010,0.00941182807515095,0.0081540281992671,0.0109119626755526
51061,2019,0.00827768706578338,0.00698073724877263,0.00977855757554804
51063,1990,0.0113317493171102,0.0088171378181095,0.0146960962947704
51063,2000,0.0103844420511924,0.00865349516262965,0.0126759717200199
51063,2010,0.00878541268065884,0.00748028158697799,0.0103562540648439
51063,2019,0.00869573727809409,0.00732669163498375,0.0102346642281435
51065,1990,0.0119478573882938,0.0093275849275868,0.0151966915141774
51065,2000,0.00978415145450624,0.008177969080531,0.0117437248275181
51065,2010,0.00825968125525525,0.00703345257395309,0.00969797297864694
51065,2019,0.0079655615194346,0.00673101410890692,0.00949263014610019
51067,1990,0.0115256497992979,0.00903337660211665,0.0148275212443655
51067,2000,0.010388007980597,0.0087350091734431,0.0124209916264421
51067,2010,0.00936810240473395,0.00803659311062737,0.0109458398771937
51067,2019,0.00901511005031803,0.00751076247278284,0.0107029110010317
51069,1990,0.0114873520953297,0.00897619183745919,0.0147308112752487
51069,2000,0.010139376031791,0.00844391487226312,0.0123147102254063
51069,2010,0.00854863416191378,0.00725507672779355,0.0100820030020746
51069,2019,0.00850232283987243,0.00710425528396742,0.010068334459405
51073,1990,0.0119141436888806,0.0091962423773272,0.0155834695856444
51073,2000,0.0112916995190678,0.0093501945329532,0.0138987361850597
51073,2010,0.0103377342362172,0.00877471090683421,0.0122141870103365
51073,2019,0.0101131594677593,0.00850548428613727,0.0119835115721298
51075,1990,0.0121505157249528,0.00936601281338604,0.0155240564923926
51075,2000,0.0111517423282197,0.00924010319192314,0.0134948220173442
51075,2010,0.00826594164217738,0.00705574157136986,0.00967782972067526
51075,2019,0.00803111358453701,0.0066459221324232,0.00955332538212956
51085,1990,0.0122775479995876,0.00979779002133814,0.015767751248286
51085,2000,0.0106338073300118,0.00894999697608879,0.0129713048293532
51085,2010,0.00834573018472121,0.00714301052223122,0.00988067156381716
51085,2019,0.00860655525096572,0.00733940525968234,0.0101502977496236
51087,1990,0.0112921084124749,0.00931095748557438,0.0145108641304285
51087,2000,0.0106496541737883,0.00901731777904119,0.0131736300665814
51087,2010,0.00871146970478443,0.00749198400977685,0.0104999148289046
51087,2019,0.00862783846745465,0.00742673517551814,0.0102733679614127
51089,1990,0.0110248970286923,0.00838201628401566,0.0145011687740233
51089,2000,0.0110126192986997,0.00899196590773844,0.0136595549087884
51089,2010,0.0109544826563397,0.00915985490423177,0.0131963113881112
51089,2019,0.0105276688798404,0.00882690876356936,0.01256301725481
51093,1990,0.0128435899161277,0.00996679644566116,0.0170050972961468
51093,2000,0.0114770651757244,0.00958627184135888,0.0140516044173838
51093,2010,0.00985357154731977,0.00831151163117991,0.0118285507063125
51093,2019,0.00888229664671433,0.00745123025134762,0.0106130973030815
51099,1990,0.0123247179180294,0.00960551149946118,0.0158187595822286
51099,2000,0.0111872490820874,0.00926274167248932,0.0134541953990314
51099,2010,0.00920235668539128,0.00782818343439285,0.0108322298478512
51099,2019,0.00899656468592662,0.00758571593776544,0.0105740974985442
51103,1990,0.0113984622810224,0.00899734993622992,0.0146632861583794
51103,2000,0.0110314446355066,0.00937228228783524,0.0131586024225667
51103,2010,0.00932247835811061,0.00784314630031255,0.0111614914489462
51103,2019,0.0100286283411457,0.00847951622854481,0.0118898749012079
51105,1990,0.0128095640333149,0.0100711743691352,0.0166229522769675
51105,2000,0.013092645336707,0.0108729494462845,0.0160618599157664
51105,2010,0.0118169091980193,0.00983379102438915,0.0141517197780406
51105,2019,0.0117329567785573,0.00981602867683317,0.0137702736460092
51107,1990,0.0112267266097227,0.00914794201961822,0.0141726804489033
51107,2000,0.00960931466267444,0.00826270757760033,0.0114266960186459
51107,2010,0.00663747179960393,0.00581642502725004,0.00769849039073546
51107,2019,0.00593809931207001,0.00517774178997492,0.00687372802755051
51109,1990,0.0127349663780155,0.0098774191124356,0.0162810112082811
51109,2000,0.0119282798366592,0.00988436116277276,0.0144182206044324
51109,2010,0.00989117626829381,0.00833292274899239,0.0117087742948405
51109,2019,0.00943334272456177,0.00800107731897185,0.0109729842577138
51111,1990,0.0127077369377976,0.0100150711031793,0.0167721118411792
51111,2000,0.0112583259440881,0.00931147743501382,0.0136640375002556
51111,2010,0.0103853062842335,0.00878843454671266,0.0123053014902946
51111,2019,0.0106275641576981,0.008835691547132,0.0126682687319779
51117,1990,0.0132494806480658,0.010246065236917,0.0174077120614399
51117,2000,0.0121318762071055,0.0100993416079061,0.0147806740155218
51117,2010,0.0108219874023296,0.0090990892306893,0.0129897506716005
51117,2019,0.0110694836037574,0.00923590443261742,0.0132109561121778
51121,1990,0.0110237645334987,0.00873634219049301,0.0143011257796683
51121,2000,0.0103260874346302,0.00881979434361057,0.0123718492623764
51121,2010,0.00909886323975104,0.0078274188237574,0.0106980869213432
51121,2019,0.00837457132188915,0.00713028813926078,0.0098834521147869
51125,1990,0.0119382823299199,0.00934712507752101,0.0152360349415483
51125,2000,0.0112266519633355,0.00929717940717335,0.013698565508669
51125,2010,0.00962120837934361,0.00816067417515608,0.0114210545322188
51125,2019,0.00915818794244178,0.00771100118431316,0.0108985280947201
51131,1990,0.0134447843597311,0.0104818453864045,0.0174281539781115
51131,2000,0.0120988129725601,0.0100670760037249,0.0147916224521677
51131,2010,0.011033634949592,0.00936015156166174,0.0131057162795401
51131,2019,0.0100517059801346,0.00836362672303306,0.0122230832674475
51135,1990,0.0133775816379798,0.0102398248470477,0.0176819418125949
51135,2000,0.0128649540535836,0.0105804190062968,0.0160223551000158
51135,2010,0.0111397648395986,0.00951370609055623,0.0130956239566971
51135,2019,0.0122576580603194,0.0102413263802595,0.0145085083764283
51139,1990,0.0111804333304316,0.00882346774511928,0.0145193163065243
51139,2000,0.0110829499048293,0.00920101997153124,0.0136326986537784
51139,2010,0.0108381335723752,0.00915293068350384,0.0128774289394096
51139,2019,0.0105130072135308,0.00877253646443651,0.0124891580181549
51141,1990,0.0117401798162774,0.00903915681353291,0.0152877198853327
51141,2000,0.0104086692466842,0.00861762066770244,0.0126947279463373
51141,2010,0.0105728292786408,0.00877765428332036,0.0127700760722705
51141,2019,0.010005532150782,0.00834844030608436,0.011880760645144
51145,1990,0.0122394929003633,0.00956262244784081,0.0153505462202178
51145,2000,0.0104854303670522,0.00883539798434495,0.0123596183288064
51145,2010,0.00883134854837527,0.00753130458146343,0.0102625336450453
51145,2019,0.00780408308761537,0.00656836269699871,0.00912900398826362
51147,1990,0.0126403470351897,0.00986250253786395,0.016800745223049
51147,2000,0.0117283104151438,0.00979339348191252,0.0144043082941525
51147,2010,0.00994633957778372,0.00852831906902181,0.0117654707824438
51147,2019,0.010402065460796,0.00867270269546286,0.0125784800446788
51149,1990,0.0113214589722093,0.00889936154091171,0.0142429927016904
51149,2000,0.0102306271960544,0.00847792078358403,0.0123473438599466
51149,2010,0.00880216617566424,0.00751415849743724,0.0102345296210742
51149,2019,0.00805708667898601,0.00676190264155869,0.00947738092037691
51155,1990,0.0117721793352784,0.00905895179801624,0.0157974499517798
51155,2000,0.0124256485668571,0.0104530928741615,0.0150878316577215
51155,2010,0.0108604008650336,0.00907540323391834,0.01312994104716
51155,2019,0.0110233143473627,0.00928667684510242,0.0130000371145469
51161,1990,0.0100052269239987,0.00817306389955497,0.0128606245738241
51161,2000,0.00980976263875357,0.00829515055862018,0.0119661689707598
51161,2010,0.008842031393796,0.00761910389464786,0.0104933500050261
51161,2019,0.0087685110282611,0.00735328430308228,0.0105970398859045
51167,1990,0.0130728413274085,0.0101550174474253,0.0168916108042935
51167,2000,0.0126060479374927,0.0104247561028217,0.0154790261341873
51167,2010,0.0119177567937484,0.0100143468198096,0.0142025045426556
51167,2019,0.0109596910902038,0.00916317027305826,0.0130607233002225
51169,1990,0.0119634579533478,0.00928497751510399,0.0156980675216721
51169,2000,0.0121119127626185,0.0100739620346746,0.0148493681568026
51169,2010,0.0111812644919609,0.00950821557350667,0.01316092821197
51169,2019,0.0107981092400923,0.00891264911272283,0.0128407730201125
51171,1990,0.0116017537712064,0.00914147240005132,0.0150853559886448
51171,2000,0.0103583055462044,0.00848734947173865,0.0129043284005917
51171,2010,0.00900973730830329,0.00769843628992635,0.0106342363222203
51171,2019,0.00943647306127827,0.00795622810428191,0.0111653160304651
51173,1990,0.0130215790170784,0.0100910499664532,0.0173588282503702
51173,2000,0.0119306886259588,0.00988546323047117,0.0148547720765375
51173,2010,0.0120648608363556,0.0102069253583299,0.0143928239951925
51173,2019,0.0123655621033186,0.0102515243353822,0.0148296812435386
51179,1990,0.0109826323287812,0.00887971732715728,0.0138701626536478
51179,2000,0.00983866969310573,0.00838985965847581,0.0117330242227676
51179,2010,0.00853753802614745,0.00736663412594318,0.0100064884598947
51179,2019,0.00840612366623244,0.00728132046685893,0.00971265406274695
51183,1990,0.0143657458480868,0.0111817996670092,0.0190444320920866
51183,2000,0.0125124773288997,0.0103634325354381,0.015301366575872
51183,2010,0.0114594952232483,0.00959827183099394,0.0135974499950471
51183,2019,0.0115109337637567,0.00955304281170015,0.0135005881349018
51185,1990,0.0130399278205441,0.0102312462575791,0.0172597457196061
51185,2000,0.0127312302322985,0.0105131301551058,0.0159675015456937
51185,2010,0.0132955072211285,0.0112719254895945,0.0157485448800762
51185,2019,0.0123690753388826,0.0102822271154344,0.0148036852954961
51187,1990,0.0128548015662916,0.0100116811736432,0.0168572713543352
51187,2000,0.0112825701925234,0.00935456225108277,0.0139045247527688
51187,2010,0.0107013762453444,0.00911595344613774,0.0126230279693376
51187,2019,0.0107987416306942,0.00898243188072046,0.0128805235592432
51191,1990,0.0115976190663499,0.00913083026186702,0.0149872790018768
51191,2000,0.0109974282397256,0.00902873174879811,0.0136469538797786
51191,2010,0.010405056105792,0.00884700067433755,0.0123735452282952
51191,2019,0.0104139390986885,0.00880421032507779,0.012289489905709
51193,1990,0.0128730854475295,0.00997659277807893,0.0166340290758855
51193,2000,0.0118903166753098,0.00973550242377338,0.0146139173814819
51193,2010,0.00990120193236877,0.00845209617274065,0.0116491961649358
51193,2019,0.00980060078051508,0.00833106622472479,0.0114969738953468
51197,1990,0.0123341109386965,0.00968979658667246,0.0162725585841372
51197,2000,0.0122210622101424,0.0102384797205191,0.0150974664212295
51197,2010,0.0105126621386796,0.00894132912485449,0.0125140070286931
51197,2019,0.0114389012016585,0.0096782179857894,0.0135552834807585
51510,1990,0.0114189168195395,0.00912064744948321,0.0152525804416425
51510,2000,0.00977802402588817,0.00830795997598083,0.0119758300992329
51510,2010,0.00754791394936523,0.00651698349324716,0.00897228144365497
51510,2019,0.0062483403283607,0.00544572841468817,0.00729683037202882
51520,1990,0.0123408443701017,0.0098046079522595,0.0170178776870062
51520,2000,0.011778754813944,0.0099399228184031,0.0149434176204654
51520,2010,0.0113879662864809,0.00968068248155685,0.0138748375582768
51520,2019,0.0109174066805301,0.00920356603828327,0.0133315689435155
51550,1990,0.012966575368658,0.0103783501419542,0.0168588093027641
51550,2000,0.0116062073948482,0.00994156897493263,0.0139890175924241
51550,2010,0.00957480536100426,0.00823215151701716,0.0113688287185887
51550,2019,0.00941459276055817,0.00810162090990029,0.0110899338969664
51570,1990,0.0124666237968361,0.00997641076071005,0.016787679520352
51570,2000,0.0110808825785326,0.00936193162176422,0.0137506462845902
51570,2010,0.00924078820791179,0.00789768952555233,0.0112069974911878
51570,2019,0.0115480433782833,0.00983560140942335,0.0139255556578309
51650,1990,0.0126911799782036,0.0103391918987495,0.0160382864403101
51650,2000,0.0116339083926685,0.00962127075285846,0.01441277013802
51650,2010,0.0100949336914007,0.00839577359398052,0.0123846578633335
51650,2019,0.0103752461849217,0.00870793398424737,0.0125473145291846
51670,1990,0.0131115707779909,0.0103866329347263,0.0173170065476306
51670,2000,0.0133882956913828,0.0111661376339669,0.0167101713997783
